Outcome,Term,Coef,SE,z,p,type
cardio_index_w6.5,st_intercept,"0.02 [-0.05, 0.09]",0.04,0.62,0.53,unadjusted
cardio_index_w6.5,st_slope,"0.3 [0.06, 0.53]",0.12,2.46,0.014,unadjusted
cardio_index_w6.5,female,"0.03 [-0.04, 0.11]",0.04,0.96,0.34,unadjusted
cardio_index_w6.5,indig,"0.04 [-0.29, 0.37]",0.17,0.23,0.82,unadjusted
cardio_index_w6.5,ses_w6,"-0.05 [-0.09, -0.02]",0.02,-2.92,0.004,unadjusted
cardio_index_w6.5,bad_diet,"-0.07 [-0.16, 0.02]",0.05,-1.47,0.14,unadjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.09 [0.05, 0.12]",0.02,5.04,< 0.001,unadjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.06 [-0.08, -0.03]",0.01,-3.99,< 0.001,unadjusted
cardio_index_w6.5,st_intercept,"0.02 [-0.06, 0.1]",0.04,0.55,0.59,adjusted
cardio_index_w6.5,st_slope,"0.27 [-0.08, 0.62]",0.18,1.5,0.13,adjusted
cardio_index_w6.5,female,"-0.02 [-0.11, 0.07]",0.05,-0.45,0.65,adjusted
cardio_index_w6.5,indig,"0.04 [-0.4, 0.48]",0.22,0.19,0.85,adjusted
cardio_index_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-2.62,0.009,adjusted
cardio_index_w6.5,bad_diet,"-0.07 [-0.18, 0.04]",0.05,-1.3,0.19,adjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.06 [0.02, 0.1]",0.02,2.89,0.004,adjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.02]",0.02,-3.32,< 0.001,adjusted
cardio_index_w6.5,accmvpa_w6.5_scaled,"-0.1 [-0.15, -0.06]",0.02,-4.22,< 0.001,adjusted
cardio_index_w6.5,accsed_w6.5_scaled,"-0.01 [-0.06, 0.03]",0.02,-0.52,0.60,adjusted
ApoBA1_ratio_w6.5,st_intercept,"0 [-0.01, 0.01]",0.01,-0.22,0.83,unadjusted
ApoBA1_ratio_w6.5,st_slope,"0.02 [-0.02, 0.06]",0.02,0.98,0.33,unadjusted
ApoBA1_ratio_w6.5,female,"0.02 [0.01, 0.03]",0.01,3.04,0.002,unadjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.04, 0.08]",0.03,0.64,0.52,unadjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-2.01,0.045,unadjusted
ApoBA1_ratio_w6.5,bad_diet,"-0.01 [-0.03, 0]",0.01,-1.43,0.15,unadjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0.01 [0, 0.01]",0,1.71,0.087,unadjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.15,0.032,unadjusted
ApoBA1_ratio_w6.5,st_intercept,"-0.01 [-0.02, 0.01]",0.01,-0.88,0.38,adjusted
ApoBA1_ratio_w6.5,st_slope,"0.01 [-0.04, 0.07]",0.03,0.49,0.63,adjusted
ApoBA1_ratio_w6.5,female,"0.01 [0, 0.03]",0.01,1.49,0.14,adjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.05, 0.1]",0.04,0.6,0.55,adjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.02, 0]",0,-2.58,0.010,adjusted
ApoBA1_ratio_w6.5,bad_diet,"-0.01 [-0.03, 0.01]",0.01,-1.2,0.23,adjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0.01]",0,0.28,0.78,adjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.83,0.005,adjusted
ApoBA1_ratio_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.02, -0.01]",0,-3.57,< 0.001,adjusted
ApoBA1_ratio_w6.5,accsed_w6.5_scaled,"0 [0, 0.01]",0,1.18,0.24,adjusted
glycoprotein_w6.5,st_intercept,"0 [-0.01, 0.02]",0.01,0.57,0.57,unadjusted
glycoprotein_w6.5,st_slope,"0.01 [-0.04, 0.06]",0.03,0.36,0.72,unadjusted
glycoprotein_w6.5,female,"0.02 [0.01, 0.04]",0.01,2.73,0.006,unadjusted
glycoprotein_w6.5,indig,"0 [-0.08, 0.08]",0.04,-0.1,0.92,unadjusted
glycoprotein_w6.5,ses_w6,"-0.01 [-0.02, -0.01]",0,-3.41,< 0.001,unadjusted
glycoprotein_w6.5,bad_diet,"-0.02 [-0.04, 0]",0.01,-2.11,0.035,unadjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0]",0,-0.9,0.37,unadjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-0.74,0.46,unadjusted
glycoprotein_w6.5,st_intercept,"0 [-0.02, 0.02]",0.01,0.16,0.88,adjusted
glycoprotein_w6.5,st_slope,"-0.01 [-0.09, 0.07]",0.04,-0.23,0.82,adjusted
glycoprotein_w6.5,female,"0.02 [0, 0.04]",0.01,1.9,0.057,adjusted
glycoprotein_w6.5,indig,"-0.04 [-0.14, 0.06]",0.05,-0.75,0.45,adjusted
glycoprotein_w6.5,ses_w6,"-0.02 [-0.03, -0.01]",0.01,-3.03,0.002,adjusted
glycoprotein_w6.5,bad_diet,"-0.02 [-0.05, 0]",0.01,-1.83,0.067,adjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.02, 0]",0,-2.42,0.016,adjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-1.07,0.29,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.03, -0.01]",0.01,-3.45,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0.01]",0.01,0.51,0.61,adjusted
phospholipids_w6.5,st_intercept,"-0.01 [-0.03, 0.01]",0.01,-1.38,0.17,unadjusted
phospholipids_w6.5,st_slope,"-0.06 [-0.12, -0.01]",0.03,-2.14,0.033,unadjusted
phospholipids_w6.5,female,"-0.01 [-0.03, 0.01]",0.01,-0.86,0.39,unadjusted
phospholipids_w6.5,indig,"0 [-0.08, 0.08]",0.04,-0.02,0.98,unadjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0,1.39,0.16,unadjusted
phospholipids_w6.5,bad_diet,"0 [-0.02, 0.03]",0.01,0.35,0.73,unadjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0,-4.49,< 0.001,unadjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.18,0.24,unadjusted
phospholipids_w6.5,st_intercept,"-0.01 [-0.03, 0.01]",0.01,-0.61,0.54,adjusted
phospholipids_w6.5,st_slope,"-0.05 [-0.14, 0.03]",0.04,-1.23,0.22,adjusted
phospholipids_w6.5,female,"0.01 [-0.02, 0.03]",0.01,0.56,0.58,adjusted
phospholipids_w6.5,indig,"-0.05 [-0.16, 0.05]",0.05,-0.97,0.33,adjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0.01,1.4,0.16,adjusted
phospholipids_w6.5,bad_diet,"0.01 [-0.02, 0.03]",0.01,0.43,0.67,adjusted
