Outcome,Term,Coef,SE,t,p,type
cardio_index_w6.5,(Intercept),"0.1 [-0.09, 0.29]",0.1,0.99,0.32,unadjusted
cardio_index_w6.5,st_earlyz,"0.02 [-0.02, 0.06]",0.02,0.94,0.35,unadjusted
cardio_index_w6.5,female,"0.03 [-0.04, 0.1]",0.04,0.82,0.41,unadjusted
cardio_index_w6.5,indig,"-0.06 [-0.41, 0.3]",0.18,-0.31,0.76,unadjusted
cardio_index_w6.5,ses_w6,"-0.06 [-0.09, -0.02]",0.02,-3.19,0.001,unadjusted
cardio_index_w6.5,bad_diet,"0.07 [-0.07, 0.2]",0.07,0.97,0.33,unadjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.09 [0.06, 0.12]",0.02,5.15,< 0.001,unadjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.03]",0.01,-3.95,< 0.001,unadjusted
cardio_index_w6.5,(Intercept),"0.17 [-0.05, 0.4]",0.11,1.52,0.13,adjusted
cardio_index_w6.5,st_earlyz,"0.01 [-0.04, 0.06]",0.03,0.47,0.64,adjusted
cardio_index_w6.5,female,"-0.03 [-0.11, 0.06]",0.04,-0.57,0.57,adjusted
cardio_index_w6.5,indig,"0.03 [-0.42, 0.47]",0.23,0.12,0.90,adjusted
cardio_index_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-2.92,0.004,adjusted
cardio_index_w6.5,bad_diet,"0.07 [-0.08, 0.23]",0.08,0.94,0.35,adjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.06 [0.02, 0.1]",0.02,2.95,0.003,adjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.02]",0.02,-3.26,0.001,adjusted
cardio_index_w6.5,accmvpa_w6.5_scaled,"-0.1 [-0.15, -0.05]",0.02,-4.19,< 0.001,adjusted
cardio_index_w6.5,accsed_w6.5_scaled,"-0.01 [-0.06, 0.04]",0.02,-0.51,0.61,adjusted
ApoBA1_ratio_w6.5,(Intercept),"0.48 [0.45, 0.51]",0.02,29.7,< 0.001,unadjusted
ApoBA1_ratio_w6.5,st_earlyz,"0 [-0.01, 0.01]",0,0.01,0.99,unadjusted
ApoBA1_ratio_w6.5,female,"0.02 [0.01, 0.03]",0.01,2.98,0.003,unadjusted
ApoBA1_ratio_w6.5,indig,"0.01 [-0.05, 0.07]",0.03,0.34,0.73,unadjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-2.07,0.039,unadjusted
ApoBA1_ratio_w6.5,bad_diet,"0 [-0.03, 0.02]",0.01,-0.42,0.67,unadjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0.01 [0, 0.01]",0,1.79,0.073,unadjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.16,0.031,unadjusted
ApoBA1_ratio_w6.5,(Intercept),"0.5 [0.46, 0.54]",0.02,26.23,< 0.001,adjusted
ApoBA1_ratio_w6.5,st_earlyz,"0 [-0.01, 0.01]",0,-0.76,0.45,adjusted
ApoBA1_ratio_w6.5,female,"0.01 [0, 0.03]",0.01,1.61,0.11,adjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.05, 0.09]",0.04,0.52,0.61,adjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.02, 0]",0,-2.5,0.013,adjusted
ApoBA1_ratio_w6.5,bad_diet,"0 [-0.03, 0.03]",0.01,0.03,0.97,adjusted
