Outcome,Term,Coef,SE,t,p,type
cardio_index_w6.5,(Intercept),"0.12 [-0.07, 0.31]",0.1,1.22,0.22,unadjusted
cardio_index_w6.5,st_latez,"0.04 [0, 0.07]",0.02,2.15,0.032,unadjusted
cardio_index_w6.5,female,"0.04 [-0.03, 0.11]",0.04,1.03,0.30,unadjusted
cardio_index_w6.5,indig,"0.04 [-0.31, 0.39]",0.18,0.21,0.83,unadjusted
cardio_index_w6.5,ses_w6,"-0.04 [-0.08, -0.01]",0.02,-2.47,0.014,unadjusted
cardio_index_w6.5,bad_diet,"0.05 [-0.09, 0.19]",0.07,0.72,0.47,unadjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.09 [0.05, 0.12]",0.02,4.89,< 0.001,unadjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.03]",0.01,-4.21,< 0.001,unadjusted
cardio_index_w6.5,(Intercept),"0.2 [-0.03, 0.43]",0.12,1.7,0.089,adjusted
cardio_index_w6.5,st_latez,"0.03 [-0.01, 0.07]",0.02,1.38,0.17,adjusted
cardio_index_w6.5,female,"-0.02 [-0.11, 0.07]",0.05,-0.48,0.63,adjusted
cardio_index_w6.5,indig,"0.01 [-0.43, 0.46]",0.23,0.05,0.96,adjusted
cardio_index_w6.5,ses_w6,"-0.05 [-0.1, -0.01]",0.02,-2.47,0.014,adjusted
cardio_index_w6.5,bad_diet,"0.07 [-0.09, 0.23]",0.08,0.84,0.40,adjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.06 [0.02, 0.11]",0.02,2.81,0.005,adjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.03]",0.02,-3.54,< 0.001,adjusted
cardio_index_w6.5,accmvpa_w6.5_scaled,"-0.1 [-0.15, -0.05]",0.03,-4.11,< 0.001,adjusted
cardio_index_w6.5,accsed_w6.5_scaled,"-0.02 [-0.07, 0.03]",0.03,-0.69,0.49,adjusted
ApoBA1_ratio_w6.5,(Intercept),"0.48 [0.45, 0.52]",0.02,29.2,< 0.001,unadjusted
ApoBA1_ratio_w6.5,st_latez,"0 [0, 0.01]",0,0.86,0.39,unadjusted
ApoBA1_ratio_w6.5,female,"0.02 [0.01, 0.03]",0.01,3.39,< 0.001,unadjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.04, 0.08]",0.03,0.61,0.54,unadjusted
ApoBA1_ratio_w6.5,ses_w6,"0 [-0.01, 0]",0,-1.5,0.13,unadjusted
ApoBA1_ratio_w6.5,bad_diet,"0 [-0.03, 0.02]",0.01,-0.38,0.70,unadjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0.01]",0,1.42,0.16,unadjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.39,0.017,unadjusted
ApoBA1_ratio_w6.5,(Intercept),"0.5 [0.46, 0.54]",0.02,25.55,< 0.001,adjusted
ApoBA1_ratio_w6.5,st_latez,"0 [-0.01, 0.01]",0,-0.29,0.77,adjusted
ApoBA1_ratio_w6.5,female,"0.01 [0, 0.03]",0.01,1.83,0.068,adjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.06, 0.09]",0.04,0.5,0.62,adjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.02, 0]",0,-2.22,0.027,adjusted
ApoBA1_ratio_w6.5,bad_diet,"0 [-0.02, 0.03]",0.01,0.28,0.78,adjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0.01]",0,0.07,0.94,adjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.91,0.004,adjusted
