Outcome,Term,Coef,SE,t,p,type
cardio_index_w6.5,(Intercept),"0.05 [-0.15, 0.25]",0.1,0.47,0.64,unadjusted
cardio_index_w6.5,blup_intercept,"0.02 [-0.04, 0.09]",0.03,0.76,0.45,unadjusted
cardio_index_w6.5,blup_slope,"0.25 [0.02, 0.48]",0.12,2.13,0.034,unadjusted
cardio_index_w6.5,female,"0.03 [-0.04, 0.1]",0.04,0.88,0.38,unadjusted
cardio_index_w6.5,indig,"0.03 [-0.3, 0.37]",0.17,0.21,0.84,unadjusted
cardio_index_w6.5,ses_w6,"-0.05 [-0.09, -0.02]",0.02,-2.94,0.003,unadjusted
cardio_index_w6.5,bad_diet,"0.06 [-0.08, 0.2]",0.07,0.87,0.39,unadjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.09 [0.05, 0.12]",0.02,5.03,< 0.001,unadjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.03]",0.01,-3.95,< 0.001,unadjusted
cardio_index_w6.5,(Intercept),"0.13 [-0.1, 0.37]",0.12,1.12,0.26,adjusted
cardio_index_w6.5,blup_intercept,"0.02 [-0.06, 0.09]",0.04,0.4,0.69,adjusted
cardio_index_w6.5,blup_slope,"0.25 [-0.04, 0.54]",0.15,1.67,0.095,adjusted
cardio_index_w6.5,female,"-0.02 [-0.11, 0.06]",0.04,-0.52,0.60,adjusted
cardio_index_w6.5,indig,"0.03 [-0.41, 0.47]",0.23,0.13,0.90,adjusted
cardio_index_w6.5,ses_w6,"-0.06 [-0.1, -0.01]",0.02,-2.66,0.008,adjusted
cardio_index_w6.5,bad_diet,"0.06 [-0.09, 0.22]",0.08,0.79,0.43,adjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.06 [0.02, 0.1]",0.02,2.89,0.004,adjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.02]",0.02,-3.31,< 0.001,adjusted
cardio_index_w6.5,accmvpa_w6.5_scaled,"-0.1 [-0.15, -0.05]",0.02,-4.2,< 0.001,adjusted
cardio_index_w6.5,accsed_w6.5_scaled,"-0.01 [-0.06, 0.03]",0.02,-0.59,0.55,adjusted
ApoBA1_ratio_w6.5,(Intercept),"0.48 [0.44, 0.51]",0.02,28.2,< 0.001,unadjusted
ApoBA1_ratio_w6.5,blup_intercept,"0 [-0.01, 0.01]",0.01,-0.02,0.99,unadjusted
ApoBA1_ratio_w6.5,blup_slope,"0.01 [-0.03, 0.05]",0.02,0.56,0.57,unadjusted
ApoBA1_ratio_w6.5,female,"0.02 [0.01, 0.03]",0.01,2.94,0.003,unadjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.04, 0.08]",0.03,0.64,0.52,unadjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-1.89,0.059,unadjusted
ApoBA1_ratio_w6.5,bad_diet,"-0.01 [-0.03, 0.02]",0.01,-0.46,0.65,unadjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0.01 [0, 0.01]",0,1.74,0.082,unadjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-2.11,0.035,unadjusted
ApoBA1_ratio_w6.5,(Intercept),"0.5 [0.46, 0.54]",0.02,25.17,< 0.001,adjusted
ApoBA1_ratio_w6.5,blup_intercept,"-0.01 [-0.02, 0.01]",0.01,-0.9,0.37,adjusted
ApoBA1_ratio_w6.5,blup_slope,"0.01 [-0.04, 0.05]",0.02,0.22,0.82,adjusted
ApoBA1_ratio_w6.5,female,"0.01 [0, 0.03]",0.01,1.54,0.12,adjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.05, 0.09]",0.04,0.54,0.59,adjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.02, 0]",0,-2.46,0.014,adjusted
ApoBA1_ratio_w6.5,bad_diet,"0 [-0.03, 0.03]",0.01,0.03,0.98,adjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0.01]",0,0.22,0.82,adjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.79,0.005,adjusted
ApoBA1_ratio_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.02, -0.01]",0,-3.6,< 0.001,adjusted
ApoBA1_ratio_w6.5,accsed_w6.5_scaled,"0 [0, 0.01]",0,1.12,0.26,adjusted
glycoprotein_w6.5,(Intercept),"1.01 [0.96, 1.05]",0.02,43.05,< 0.001,unadjusted
glycoprotein_w6.5,blup_intercept,"0 [-0.01, 0.02]",0.01,0.63,0.53,unadjusted
glycoprotein_w6.5,blup_slope,"0.02 [-0.04, 0.07]",0.03,0.58,0.56,unadjusted
glycoprotein_w6.5,female,"0.02 [0, 0.04]",0.01,2.49,0.013,unadjusted
glycoprotein_w6.5,indig,"0 [-0.08, 0.08]",0.04,-0.05,0.96,unadjusted
glycoprotein_w6.5,ses_w6,"-0.01 [-0.02, -0.01]",0,-3.52,< 0.001,unadjusted
glycoprotein_w6.5,bad_diet,"-0.01 [-0.05, 0.02]",0.02,-0.92,0.36,unadjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0]",0,-0.83,0.40,unadjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-0.65,0.52,unadjusted
glycoprotein_w6.5,(Intercept),"1.02 [0.97, 1.08]",0.03,37.04,< 0.001,adjusted
glycoprotein_w6.5,blup_intercept,"0 [-0.02, 0.02]",0.01,0.15,0.88,adjusted
glycoprotein_w6.5,blup_slope,"0.02 [-0.05, 0.09]",0.03,0.66,0.51,adjusted
glycoprotein_w6.5,female,"0.02 [0, 0.04]",0.01,1.84,0.066,adjusted
glycoprotein_w6.5,indig,"-0.04 [-0.14, 0.06]",0.05,-0.77,0.44,adjusted
glycoprotein_w6.5,ses_w6,"-0.02 [-0.03, -0.01]",0.01,-3,0.003,adjusted
glycoprotein_w6.5,bad_diet,"-0.01 [-0.04, 0.03]",0.02,-0.4,0.69,adjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.02, 0]",0.01,-2.43,0.015,adjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-1.03,0.30,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.03, -0.01]",0.01,-3.48,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0.01]",0.01,0.38,0.70,adjusted
phospholipids_w6.5,(Intercept),"0.45 [0.4, 0.5]",0.02,18.27,< 0.001,unadjusted
phospholipids_w6.5,blup_intercept,"-0.01 [-0.03, 0]",0.01,-1.61,0.11,unadjusted
phospholipids_w6.5,blup_slope,"-0.05 [-0.11, 0]",0.03,-1.8,0.072,unadjusted
phospholipids_w6.5,female,"-0.01 [-0.02, 0.01]",0.01,-0.6,0.55,unadjusted
phospholipids_w6.5,indig,"0 [-0.09, 0.08]",0.04,-0.04,0.97,unadjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0,1.5,0.13,unadjusted
phospholipids_w6.5,bad_diet,"0 [-0.03, 0.04]",0.02,0.14,0.89,unadjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0,-4.54,< 0.001,unadjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.22,0.22,unadjusted
phospholipids_w6.5,(Intercept),"0.43 [0.37, 0.49]",0.03,15.03,< 0.001,adjusted
phospholipids_w6.5,blup_intercept,"0 [-0.02, 0.02]",0.01,-0.39,0.70,adjusted
phospholipids_w6.5,blup_slope,"-0.04 [-0.11, 0.03]",0.04,-1.1,0.27,adjusted
phospholipids_w6.5,female,"0.01 [-0.01, 0.03]",0.01,0.72,0.47,adjusted
phospholipids_w6.5,indig,"-0.05 [-0.16, 0.05]",0.05,-0.96,0.34,adjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0.01,1.55,0.12,adjusted
phospholipids_w6.5,bad_diet,"0 [-0.03, 0.04]",0.02,0.14,0.89,adjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0.01,-3.08,0.002,adjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,0.99,0.32,adjusted
phospholipids_w6.5,accmvpa_w6.5_scaled,"0.02 [0.01, 0.03]",0.01,3.18,0.002,adjusted
phospholipids_w6.5,accsed_w6.5_scaled,"-0.01 [-0.02, 0.01]",0.01,-0.87,0.38,adjusted
vo2_w6.5,(Intercept),"55.46 [52.54, 58.39]",1.49,37.2,< 0.001,unadjusted
vo2_w6.5,blup_intercept,"-3.04 [-4.17, -1.91]",0.57,-5.3,< 0.001,unadjusted
vo2_w6.5,blup_slope,"-3.15 [-7.24, 0.95]",2.09,-1.51,0.13,unadjusted
vo2_w6.5,female,"-4.96 [-6.19, -3.73]",0.63,-7.93,< 0.001,unadjusted
vo2_w6.5,indig,"-1.29 [-6.13, 3.56]",2.47,-0.52,0.60,unadjusted
vo2_w6.5,ses_w6,"0.4 [-0.2, 0.99]",0.3,1.3,0.19,unadjusted
vo2_w6.5,bad_diet,"-2.36 [-4.77, 0.05]",1.23,-1.92,0.055,unadjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-1.27 [-1.88, -0.66]",0.31,-4.1,< 0.001,unadjusted
vo2_w6.5,(Intercept),"53.38 [50.11, 56.65]",1.67,32.03,< 0.001,adjusted
vo2_w6.5,blup_intercept,"-2.72 [-4.01, -1.43]",0.65,-4.15,< 0.001,adjusted
vo2_w6.5,blup_slope,"-2.82 [-7.65, 2.02]",2.46,-1.14,0.25,adjusted
vo2_w6.5,female,"-3.05 [-4.52, -1.59]",0.75,-4.08,< 0.001,adjusted
vo2_w6.5,indig,"-3.35 [-9.4, 2.7]",3.08,-1.09,0.28,adjusted
vo2_w6.5,ses_w6,"0.38 [-0.29, 1.05]",0.34,1.12,0.26,adjusted
vo2_w6.5,bad_diet,"-2.75 [-5.42, -0.08]",1.36,-2.02,0.044,adjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-0.69 [-1.41, 0.03]",0.37,-1.88,0.061,adjusted
vo2_w6.5,accmvpa_w6.5_scaled,"3.27 [2.45, 4.1]",0.42,7.8,< 0.001,adjusted
vo2_w6.5,accsed_w6.5_scaled,"0.27 [-0.52, 1.06]",0.4,0.68,0.50,adjusted
waistcm_w6.5,(Intercept),"61.45 [59.37, 63.53]",1.06,57.85,< 0.001,unadjusted
waistcm_w6.5,blup_intercept,"1.13 [0.38, 1.89]",0.38,2.96,0.003,unadjusted
waistcm_w6.5,blup_slope,"3.2 [0.45, 5.95]",1.4,2.28,0.023,unadjusted
waistcm_w6.5,female,"-3.25 [-4.08, -2.42]",0.42,-7.71,< 0.001,unadjusted
waistcm_w6.5,indig,"-0.26 [-3.08, 2.55]",1.44,-0.18,0.85,unadjusted
waistcm_w6.5,ses_w6,"-0.67 [-1.06, -0.28]",0.2,-3.36,< 0.001,unadjusted
waistcm_w6.5,bad_diet,"0.32 [-1.43, 2.08]",0.9,0.36,0.72,unadjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"2.27 [1.86, 2.68]",0.21,10.92,< 0.001,unadjusted
waistcm_w6.5,(Intercept),"62.58 [60.13, 65.03]",1.25,50.15,< 0.001,adjusted
waistcm_w6.5,blup_intercept,"1.22 [0.31, 2.13]",0.46,2.63,0.009,adjusted
waistcm_w6.5,blup_slope,"1.62 [-1.83, 5.07]",1.76,0.92,0.36,adjusted
waistcm_w6.5,female,"-4.23 [-5.29, -3.18]",0.54,-7.88,< 0.001,adjusted
waistcm_w6.5,indig,"0.12 [-3.8, 4.04]",2,0.06,0.95,adjusted
waistcm_w6.5,ses_w6,"-0.68 [-1.15, -0.21]",0.24,-2.82,0.005,adjusted
waistcm_w6.5,bad_diet,"1.01 [-1.01, 3.03]",1.03,0.98,0.33,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.85 [1.34, 2.36]",0.26,7.18,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"-1.53 [-2.13, -0.94]",0.3,-5.04,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"-0.3 [-0.88, 0.27]",0.29,-1.03,0.30,adjusted
waist2height_w6.5,(Intercept),"0.42 [0.41, 0.44]",0.01,64.64,< 0.001,unadjusted
waist2height_w6.5,blup_intercept,"0.01 [0.01, 0.01]",0,4.14,< 0.001,unadjusted
waist2height_w6.5,blup_slope,"0.02 [0, 0.03]",0.01,2.08,0.038,unadjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.38,< 0.001,unadjusted
waist2height_w6.5,indig,"0 [-0.02, 0.01]",0.01,-0.53,0.60,unadjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-3.83,< 0.001,unadjusted
waist2height_w6.5,bad_diet,"0 [-0.01, 0.02]",0.01,0.85,0.40,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,1.75,0.080,unadjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,56.29,< 0.001,adjusted
waist2height_w6.5,blup_intercept,"0.01 [0.01, 0.02]",0,4.07,< 0.001,adjusted
waist2height_w6.5,blup_slope,"0.01 [-0.01, 0.03]",0.01,0.78,0.43,adjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.52,< 0.001,adjusted
waist2height_w6.5,indig,"0 [-0.03, 0.02]",0.01,-0.26,0.79,adjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-2.93,0.003,adjusted
waist2height_w6.5,bad_diet,"0.01 [0, 0.02]",0.01,1.45,0.15,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,0.03,0.97,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.01, 0]",0,-3.69,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0]",0,-0.88,0.38,adjusted
bmiz_w6.5,(Intercept),"-0.34 [-0.6, -0.08]",0.13,-2.53,0.012,unadjusted
bmiz_w6.5,blup_intercept,"0.15 [0.06, 0.25]",0.05,3.1,0.002,unadjusted
bmiz_w6.5,blup_slope,"0.29 [-0.06, 0.63]",0.18,1.63,0.10,unadjusted
bmiz_w6.5,female,"-0.17 [-0.27, -0.06]",0.05,-3.17,0.002,unadjusted
bmiz_w6.5,indig,"0.05 [-0.3, 0.4]",0.18,0.29,0.77,unadjusted
bmiz_w6.5,ses_w6,"-0.06 [-0.11, -0.01]",0.03,-2.4,0.017,unadjusted
bmiz_w6.5,bad_diet,"0.07 [-0.15, 0.29]",0.11,0.64,0.52,unadjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.27 [0.21, 0.32]",0.03,10.16,< 0.001,unadjusted
bmiz_w6.5,(Intercept),"-0.25 [-0.56, 0.06]",0.16,-1.56,0.12,adjusted
bmiz_w6.5,blup_intercept,"0.18 [0.06, 0.3]",0.06,3.02,0.003,adjusted
bmiz_w6.5,blup_slope,"0.13 [-0.3, 0.57]",0.22,0.6,0.55,adjusted
bmiz_w6.5,female,"-0.26 [-0.4, -0.13]",0.07,-3.86,< 0.001,adjusted
bmiz_w6.5,indig,"-0.04 [-0.54, 0.46]",0.25,-0.14,0.89,adjusted
bmiz_w6.5,ses_w6,"-0.05 [-0.11, 0.01]",0.03,-1.74,0.082,adjusted
bmiz_w6.5,bad_diet,"0.16 [-0.1, 0.42]",0.13,1.21,0.23,adjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.23 [0.16, 0.29]",0.03,6.86,< 0.001,adjusted
bmiz_w6.5,accmvpa_w6.5_scaled,"-0.17 [-0.25, -0.09]",0.04,-4.38,< 0.001,adjusted
bmiz_w6.5,accsed_w6.5_scaled,"-0.07 [-0.14, 0.01]",0.04,-1.78,0.076,adjusted
bodyfat_w6.5,(Intercept),"17.74 [15.5, 19.98]",1.14,15.51,< 0.001,unadjusted
bodyfat_w6.5,blup_intercept,"1.93 [1.12, 2.74]",0.41,4.68,< 0.001,unadjusted
bodyfat_w6.5,blup_slope,"2.24 [-0.71, 5.2]",1.51,1.49,0.14,unadjusted
bodyfat_w6.5,female,"2.87 [1.98, 3.76]",0.45,6.34,< 0.001,unadjusted
