Outcome,Term,Coef,SE,z,p,type
trigly_w6.5,st_intercept,"1 [0.95, 1.05]",0.03,0.03,0.98,unadjusted
trigly_w6.5,st_slope,"1.14 [0.96, 1.36]",0.09,1.52,0.13,unadjusted
trigly_w6.5,female,"1.1 [1.04, 1.16]",0.03,3.26,0.001,unadjusted
trigly_w6.5,indig,"1.03 [0.78, 1.35]",0.14,0.21,0.84,unadjusted
trigly_w6.5,ses_w6,"0.96 [0.93, 0.98]",0.01,-3.07,0.002,unadjusted
trigly_w6.5,bad_diet,"1.08 [0.98, 1.2]",0.05,1.5,0.13,unadjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"1 [0.97, 1.03]",0.01,0,1.00,unadjusted
trigly_w6.5,fastingtime_w6.5,"0.97 [0.95, 0.99]",0.01,-2.88,0.004,unadjusted
trigly_w6.5,st_intercept,"0.99 [0.92, 1.05]",0.03,-0.47,0.64,adjusted
trigly_w6.5,st_slope,"1.15 [0.88, 1.51]",0.14,1,0.32,adjusted
trigly_w6.5,female,"1.06 [0.98, 1.13]",0.04,1.51,0.13,adjusted
trigly_w6.5,indig,"0.88 [0.62, 1.23]",0.17,-0.75,0.45,adjusted
trigly_w6.5,ses_w6,"0.94 [0.91, 0.97]",0.02,-3.56,< 0.001,adjusted
trigly_w6.5,bad_diet,"1.11 [0.99, 1.26]",0.06,1.74,0.082,adjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"0.99 [0.96, 1.02]",0.02,-0.54,0.59,adjusted
trigly_w6.5,fastingtime_w6.5,"0.96 [0.94, 0.99]",0.01,-2.83,0.005,adjusted
trigly_w6.5,accmvpa_w6.5_scaled,"0.94 [0.91, 0.98]",0.02,-3.12,0.002,adjusted
trigly_w6.5,accsed_w6.5_scaled,"0.97 [0.94, 1.01]",0.02,-1.31,0.19,adjusted
waist2height_w6.5,st_intercept,"1.02 [1.01, 1.03]",0.01,4.15,< 0.001,unadjusted
waist2height_w6.5,st_slope,"1.04 [1, 1.08]",0.02,2.04,0.042,unadjusted
waist2height_w6.5,female,"0.97 [0.96, 0.99]",0.01,-4.48,< 0.001,unadjusted
waist2height_w6.5,indig,"0.99 [0.95, 1.02]",0.02,-0.74,0.46,unadjusted
waist2height_w6.5,ses_w6,"0.99 [0.99, 1]",0,-3.18,0.001,unadjusted
waist2height_w6.5,bad_diet,"1.01 [0.99, 1.04]",0.01,0.86,0.39,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"1.01 [1, 1.01]",0,1.93,0.054,unadjusted
waist2height_w6.5,st_intercept,"1.03 [1.01, 1.04]",0.01,4.11,< 0.001,adjusted
waist2height_w6.5,st_slope,"1.01 [0.96, 1.07]",0.03,0.54,0.59,adjusted
waist2height_w6.5,female,"0.97 [0.95, 0.98]",0.01,-4.46,< 0.001,adjusted
waist2height_w6.5,indig,"0.99 [0.94, 1.04]",0.03,-0.5,0.62,adjusted
waist2height_w6.5,ses_w6,"0.99 [0.99, 1]",0,-2.29,0.022,adjusted
waist2height_w6.5,bad_diet,"1.02 [0.99, 1.05]",0.01,1.45,0.15,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"1 [0.99, 1.01]",0,0.3,0.76,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"0.99 [0.98, 0.99]",0,-3.5,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"1 [0.99, 1]",0,-0.97,0.33,adjusted
waistcm_w6.5,st_intercept,"1.02 [1.01, 1.03]",0.01,2.91,0.004,unadjusted
waistcm_w6.5,st_slope,"1.05 [1.01, 1.09]",0.02,2.27,0.023,unadjusted
waistcm_w6.5,female,"0.95 [0.94, 0.96]",0.01,-7.95,< 0.001,unadjusted
waistcm_w6.5,indig,"0.99 [0.95, 1.04]",0.02,-0.28,0.78,unadjusted
waistcm_w6.5,ses_w6,"0.99 [0.99, 1]",0,-2.9,0.004,unadjusted
waistcm_w6.5,bad_diet,"1 [0.98, 1.03]",0.01,0.32,0.75,unadjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.04 [1.03, 1.04]",0,11.6,< 0.001,unadjusted
waistcm_w6.5,st_intercept,"1.02 [1, 1.03]",0.01,2.67,0.008,adjusted
waistcm_w6.5,st_slope,"1.02 [0.97, 1.08]",0.03,0.81,0.42,adjusted
waistcm_w6.5,female,"0.94 [0.92, 0.95]",0.01,-8,< 0.001,adjusted
waistcm_w6.5,indig,"1 [0.94, 1.06]",0.03,-0.05,0.96,adjusted
waistcm_w6.5,ses_w6,"0.99 [0.98, 1]",0,-2.36,0.018,adjusted
waistcm_w6.5,bad_diet,"1.01 [0.99, 1.04]",0.01,0.95,0.34,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.03 [1.02, 1.04]",0,7.83,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"0.98 [0.97, 0.99]",0,-5.01,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"1 [0.99, 1]",0,-1.13,0.26,adjusted
glycoprotein_w6.5,st_intercept,"1.01 [0.99, 1.02]",0.01,0.79,0.43,unadjusted
glycoprotein_w6.5,st_slope,"1.01 [0.96, 1.07]",0.03,0.55,0.59,unadjusted
glycoprotein_w6.5,female,"1.02 [1, 1.04]",0.01,2.44,0.015,unadjusted
glycoprotein_w6.5,indig,"0.99 [0.92, 1.07]",0.04,-0.14,0.89,unadjusted
glycoprotein_w6.5,ses_w6,"0.99 [0.98, 0.99]",0,-3.26,0.001,unadjusted
glycoprotein_w6.5,bad_diet,"0.98 [0.96, 1.01]",0.02,-1.01,0.31,unadjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"1 [0.99, 1]",0,-0.9,0.37,unadjusted
glycoprotein_w6.5,fastingtime_w6.5,"1 [0.99, 1]",0,-0.67,0.51,unadjusted
glycoprotein_w6.5,st_intercept,"1 [0.99, 1.02]",0.01,0.37,0.71,adjusted
glycoprotein_w6.5,st_slope,"1.02 [0.95, 1.11]",0.04,0.56,0.58,adjusted
glycoprotein_w6.5,female,"1.02 [1, 1.04]",0.01,1.65,0.099,adjusted
glycoprotein_w6.5,indig,"0.96 [0.87, 1.05]",0.05,-0.91,0.36,adjusted
glycoprotein_w6.5,ses_w6,"0.99 [0.98, 1]",0.01,-2.74,0.006,adjusted
glycoprotein_w6.5,bad_diet,"0.99 [0.96, 1.03]",0.02,-0.47,0.64,adjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"0.99 [0.98, 1]",0,-2.46,0.014,adjusted
glycoprotein_w6.5,fastingtime_w6.5,"1 [0.99, 1]",0,-1,0.32,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"0.98 [0.97, 0.99]",0.01,-3.64,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"1 [0.99, 1.01]",0.01,0.27,0.79,adjusted
ApoBA1_ratio_w6.5,st_intercept,"1 [0.98, 1.02]",0.01,0.05,0.96,unadjusted
ApoBA1_ratio_w6.5,st_slope,"1.03 [0.96, 1.11]",0.04,0.79,0.43,unadjusted
ApoBA1_ratio_w6.5,female,"1.04 [1.01, 1.07]",0.01,3.17,0.002,unadjusted
ApoBA1_ratio_w6.5,indig,"1.01 [0.9, 1.14]",0.06,0.2,0.84,unadjusted
ApoBA1_ratio_w6.5,ses_w6,"0.99 [0.98, 1]",0.01,-1.75,0.080,unadjusted
ApoBA1_ratio_w6.5,bad_diet,"0.99 [0.94, 1.03]",0.02,-0.59,0.56,unadjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"1.01 [1, 1.02]",0.01,1.8,0.072,unadjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"0.99 [0.98, 1]",0,-2.17,0.030,unadjusted
ApoBA1_ratio_w6.5,st_intercept,"0.99 [0.96, 1.02]",0.01,-0.87,0.39,adjusted
ApoBA1_ratio_w6.5,st_slope,"1.02 [0.91, 1.14]",0.06,0.26,0.80,adjusted
ApoBA1_ratio_w6.5,female,"1.02 [0.99, 1.05]",0.02,1.53,0.13,adjusted
ApoBA1_ratio_w6.5,indig,"1 [0.86, 1.15]",0.07,-0.07,0.95,adjusted
ApoBA1_ratio_w6.5,ses_w6,"0.98 [0.97, 1]",0.01,-2.49,0.013,adjusted
ApoBA1_ratio_w6.5,bad_diet,"1 [0.95, 1.05]",0.03,-0.05,0.96,adjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"1 [0.99, 1.02]",0.01,0.34,0.73,adjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"0.98 [0.97, 1]",0.01,-2.83,0.005,adjusted
ApoBA1_ratio_w6.5,accmvpa_w6.5_scaled,"0.97 [0.95, 0.98]",0.01,-3.85,< 0.001,adjusted
ApoBA1_ratio_w6.5,accsed_w6.5_scaled,"1.01 [0.99, 1.02]",0.01,0.98,0.33,adjusted
glucose_w6.5,st_intercept,"0.99 [0.98, 1]",0.01,-1.78,0.076,unadjusted
glucose_w6.5,st_slope,"0.99 [0.95, 1.04]",0.02,-0.28,0.78,unadjusted
glucose_w6.5,female,"0.99 [0.98, 1]",0.01,-1.54,0.12,unadjusted
glucose_w6.5,indig,"0.99 [0.93, 1.05]",0.03,-0.39,0.70,unadjusted
glucose_w6.5,ses_w6,"1 [0.99, 1]",0,-1.02,0.31,unadjusted
glucose_w6.5,bad_diet,"1.02 [1, 1.05]",0.01,1.66,0.097,unadjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"1 [0.99, 1]",0,-0.64,0.52,unadjusted
