Outcome,Term,Coef,SE,t,p,type
cardio_index_w6.5,(Intercept),"0.1 [-0.09, 0.29]",0.1,0.99,0.32,unadjusted
cardio_index_w6.5,st_totalz_w3,"0 [-0.04, 0.03]",0.02,-0.23,0.82,unadjusted
cardio_index_w6.5,female,"0.03 [-0.04, 0.1]",0.04,0.95,0.34,unadjusted
cardio_index_w6.5,indig,"-0.05 [-0.4, 0.3]",0.18,-0.29,0.77,unadjusted
cardio_index_w6.5,ses_w6,"-0.06 [-0.1, -0.03]",0.02,-3.43,< 0.001,unadjusted
cardio_index_w6.5,bad_diet,"0.06 [-0.07, 0.2]",0.07,0.92,0.36,unadjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.09 [0.06, 0.13]",0.02,5.19,< 0.001,unadjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.06 [-0.08, -0.03]",0.01,-4.06,< 0.001,unadjusted
cardio_index_w6.5,(Intercept),"0.18 [-0.04, 0.4]",0.11,1.58,0.11,adjusted
cardio_index_w6.5,st_totalz_w3,"-0.01 [-0.05, 0.03]",0.02,-0.43,0.67,adjusted
cardio_index_w6.5,female,"-0.03 [-0.11, 0.06]",0.04,-0.58,0.56,adjusted
cardio_index_w6.5,indig,"0.04 [-0.41, 0.48]",0.23,0.16,0.87,adjusted
cardio_index_w6.5,ses_w6,"-0.07 [-0.11, -0.02]",0.02,-3.13,0.002,adjusted
cardio_index_w6.5,bad_diet,"0.08 [-0.08, 0.23]",0.08,0.95,0.34,adjusted
cardio_index_w6.5,sexualmaturity_numeric_w6.5,"0.06 [0.02, 0.1]",0.02,2.95,0.003,adjusted
cardio_index_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.02]",0.02,-3.44,< 0.001,adjusted
cardio_index_w6.5,accmvpa_w6.5_scaled,"-0.1 [-0.15, -0.05]",0.02,-4.19,< 0.001,adjusted
cardio_index_w6.5,accsed_w6.5_scaled,"-0.01 [-0.06, 0.04]",0.02,-0.42,0.67,adjusted
ApoBA1_ratio_w6.5,(Intercept),"0.48 [0.45, 0.51]",0.02,29.45,< 0.001,unadjusted
ApoBA1_ratio_w6.5,st_totalz_w3,"0 [-0.01, 0.01]",0,-0.26,0.80,unadjusted
ApoBA1_ratio_w6.5,female,"0.02 [0.01, 0.03]",0.01,3.03,0.003,unadjusted
ApoBA1_ratio_w6.5,indig,"0.01 [-0.05, 0.07]",0.03,0.33,0.74,unadjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-1.99,0.046,unadjusted
ApoBA1_ratio_w6.5,bad_diet,"-0.01 [-0.03, 0.02]",0.01,-0.48,0.63,unadjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0.01 [0, 0.01]",0,1.91,0.057,unadjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.2,0.028,unadjusted
ApoBA1_ratio_w6.5,(Intercept),"0.5 [0.47, 0.54]",0.02,26.29,< 0.001,adjusted
ApoBA1_ratio_w6.5,st_totalz_w3,"0 [-0.01, 0]",0,-0.92,0.36,adjusted
ApoBA1_ratio_w6.5,female,"0.01 [0, 0.03]",0.01,1.71,0.088,adjusted
ApoBA1_ratio_w6.5,indig,"0.02 [-0.05, 0.1]",0.04,0.58,0.56,adjusted
ApoBA1_ratio_w6.5,ses_w6,"-0.01 [-0.02, 0]",0,-2.43,0.016,adjusted
ApoBA1_ratio_w6.5,bad_diet,"0 [-0.03, 0.03]",0.01,0,1.00,adjusted
ApoBA1_ratio_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0.01]",0,0.22,0.82,adjusted
ApoBA1_ratio_w6.5,fastingtime_w6.5,"-0.01 [-0.01, 0]",0,-2.96,0.003,adjusted
ApoBA1_ratio_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.02, -0.01]",0,-3.59,< 0.001,adjusted
ApoBA1_ratio_w6.5,accsed_w6.5_scaled,"0 [0, 0.01]",0,1.07,0.28,adjusted
glycoprotein_w6.5,(Intercept),"1.01 [0.96, 1.05]",0.02,45.02,< 0.001,unadjusted
glycoprotein_w6.5,st_totalz_w3,"0 [-0.01, 0.01]",0,-0.08,0.93,unadjusted
glycoprotein_w6.5,female,"0.02 [0, 0.04]",0.01,2.56,0.011,unadjusted
glycoprotein_w6.5,indig,"-0.03 [-0.11, 0.06]",0.04,-0.63,0.53,unadjusted
glycoprotein_w6.5,ses_w6,"-0.01 [-0.02, -0.01]",0,-3.63,< 0.001,unadjusted
glycoprotein_w6.5,bad_diet,"-0.01 [-0.04, 0.02]",0.02,-0.83,0.40,unadjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.01, 0.01]",0,-0.68,0.50,unadjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-0.8,0.42,unadjusted
glycoprotein_w6.5,(Intercept),"1.03 [0.98, 1.08]",0.03,38.7,< 0.001,adjusted
glycoprotein_w6.5,st_totalz_w3,"0 [-0.01, 0.01]",0.01,-0.58,0.56,adjusted
glycoprotein_w6.5,female,"0.02 [0, 0.04]",0.01,1.81,0.071,adjusted
glycoprotein_w6.5,indig,"-0.04 [-0.14, 0.06]",0.05,-0.72,0.47,adjusted
glycoprotein_w6.5,ses_w6,"-0.02 [-0.03, -0.01]",0,-3.4,< 0.001,adjusted
glycoprotein_w6.5,bad_diet,"-0.01 [-0.04, 0.03]",0.02,-0.36,0.72,adjusted
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.02, 0]",0.01,-2.37,0.018,adjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-1.23,0.22,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.03, -0.01]",0.01,-3.45,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0.01]",0.01,0.45,0.65,adjusted
phospholipids_w6.5,(Intercept),"0.44 [0.4, 0.49]",0.02,18.72,< 0.001,unadjusted
phospholipids_w6.5,st_totalz_w3,"0 [-0.01, 0.01]",0,-0.6,0.55,unadjusted
phospholipids_w6.5,female,"0 [-0.02, 0.01]",0.01,-0.54,0.59,unadjusted
phospholipids_w6.5,indig,"0 [-0.09, 0.09]",0.05,0.08,0.94,unadjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0,2.18,0.029,unadjusted
phospholipids_w6.5,bad_diet,"0 [-0.03, 0.03]",0.02,-0.09,0.93,unadjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0,-4.73,< 0.001,unadjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.31,0.19,unadjusted
phospholipids_w6.5,(Intercept),"0.42 [0.37, 0.48]",0.03,15.36,< 0.001,adjusted
phospholipids_w6.5,st_totalz_w3,"0 [-0.01, 0.01]",0.01,0.26,0.80,adjusted
phospholipids_w6.5,female,"0.01 [-0.01, 0.03]",0.01,0.8,0.42,adjusted
phospholipids_w6.5,indig,"-0.05 [-0.16, 0.05]",0.05,-0.98,0.33,adjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0.01,1.89,0.059,adjusted
phospholipids_w6.5,bad_diet,"0 [-0.04, 0.04]",0.02,0.07,0.95,adjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0.01,-3.22,0.001,adjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.06,0.29,adjusted
phospholipids_w6.5,accmvpa_w6.5_scaled,"0.02 [0.01, 0.03]",0.01,3.12,0.002,adjusted
phospholipids_w6.5,accsed_w6.5_scaled,"-0.01 [-0.02, 0.01]",0.01,-1.04,0.30,adjusted
vo2_w6.5,(Intercept),"55.49 [52.7, 58.28]",1.42,39.04,< 0.001,unadjusted
vo2_w6.5,st_totalz_w3,"-1.19 [-1.82, -0.56]",0.32,-3.73,< 0.001,unadjusted
vo2_w6.5,female,"-4.63 [-5.87, -3.39]",0.63,-7.34,< 0.001,unadjusted
vo2_w6.5,indig,"-0.32 [-5.39, 4.75]",2.58,-0.12,0.90,unadjusted
vo2_w6.5,ses_w6,"0.58 [-0.02, 1.19]",0.31,1.9,0.057,unadjusted
vo2_w6.5,bad_diet,"-2.5 [-4.96, -0.03]",1.26,-1.98,0.048,unadjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-1.35 [-1.97, -0.74]",0.31,-4.31,< 0.001,unadjusted
vo2_w6.5,(Intercept),"53.17 [50.03, 56.32]",1.6,33.21,< 0.001,adjusted
vo2_w6.5,st_totalz_w3,"-1.04 [-1.73, -0.35]",0.35,-2.97,0.003,adjusted
vo2_w6.5,female,"-2.74 [-4.21, -1.28]",0.75,-3.67,< 0.001,adjusted
vo2_w6.5,indig,"-3.27 [-9.35, 2.81]",3.1,-1.05,0.29,adjusted
vo2_w6.5,ses_w6,"0.58 [-0.08, 1.25]",0.34,1.72,0.085,adjusted
vo2_w6.5,bad_diet,"-2.75 [-5.47, -0.04]",1.38,-2,0.046,adjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-0.72 [-1.44, 0.01]",0.37,-1.95,0.052,adjusted
vo2_w6.5,accmvpa_w6.5_scaled,"3.24 [2.41, 4.07]",0.42,7.64,< 0.001,adjusted
vo2_w6.5,accsed_w6.5_scaled,"0.06 [-0.73, 0.85]",0.4,0.16,0.88,adjusted
waistcm_w6.5,(Intercept),"61.85 [59.85, 63.85]",1.02,60.59,< 0.001,unadjusted
waistcm_w6.5,st_totalz_w3,"0.41 [-0.01, 0.83]",0.21,1.91,0.057,unadjusted
waistcm_w6.5,female,"-3.29 [-4.12, -2.46]",0.42,-7.79,< 0.001,unadjusted
waistcm_w6.5,indig,"-0.73 [-3.6, 2.13]",1.46,-0.5,0.62,unadjusted
waistcm_w6.5,ses_w6,"-0.81 [-1.2, -0.42]",0.2,-4.06,< 0.001,unadjusted
waistcm_w6.5,bad_diet,"0.42 [-1.38, 2.22]",0.92,0.46,0.64,unadjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"2.3 [1.89, 2.71]",0.21,10.99,< 0.001,unadjusted
waistcm_w6.5,(Intercept),"62.78 [60.43, 65.13]",1.2,52.4,< 0.001,adjusted
waistcm_w6.5,st_totalz_w3,"0.49 [-0.01, 0.98]",0.25,1.92,0.055,adjusted
waistcm_w6.5,female,"-4.27 [-5.33, -3.22]",0.54,-7.95,< 0.001,adjusted
waistcm_w6.5,indig,"0.22 [-3.7, 4.14]",2,0.11,0.91,adjusted
waistcm_w6.5,ses_w6,"-0.79 [-1.26, -0.32]",0.24,-3.32,< 0.001,adjusted
waistcm_w6.5,bad_diet,"1.04 [-1.02, 3.09]",1.05,0.99,0.32,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.83 [1.32, 2.34]",0.26,7.03,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"-1.53 [-2.13, -0.93]",0.31,-4.99,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"-0.2 [-0.78, 0.37]",0.29,-0.69,0.49,adjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,67.45,< 0.001,unadjusted
waist2height_w6.5,st_totalz_w3,"0 [0, 0.01]",0,3.04,0.002,unadjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.59,< 0.001,unadjusted
waist2height_w6.5,indig,"-0.01 [-0.02, 0.01]",0.01,-0.75,0.45,unadjusted
waist2height_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-4.48,< 0.001,unadjusted
waist2height_w6.5,bad_diet,"0.01 [-0.01, 0.02]",0.01,0.99,0.32,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0.01]",0,1.93,0.053,unadjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,58.4,< 0.001,adjusted
waist2height_w6.5,st_totalz_w3,"0 [0, 0.01]",0,3.08,0.002,adjusted
waist2height_w6.5,female,"-0.02 [-0.02, -0.01]",0,-4.75,< 0.001,adjusted
waist2height_w6.5,indig,"0 [-0.03, 0.02]",0.01,-0.2,0.84,adjusted
waist2height_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-3.51,< 0.001,adjusted
waist2height_w6.5,bad_diet,"0.01 [0, 0.02]",0.01,1.53,0.13,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,0,1.00,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.01, 0]",0,-3.53,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"0 [0, 0]",0,-0.31,0.76,adjusted
bmiz_w6.5,(Intercept),"-0.32 [-0.58, -0.07]",0.13,-2.52,0.012,unadjusted
bmiz_w6.5,st_totalz_w3,"0.05 [0, 0.11]",0.03,1.98,0.048,unadjusted
bmiz_w6.5,female,"-0.18 [-0.28, -0.07]",0.05,-3.36,< 0.001,unadjusted
bmiz_w6.5,indig,"0.01 [-0.35, 0.36]",0.18,0.04,0.97,unadjusted
bmiz_w6.5,ses_w6,"-0.08 [-0.13, -0.03]",0.03,-3.1,0.002,unadjusted
bmiz_w6.5,bad_diet,"0.1 [-0.13, 0.32]",0.12,0.84,0.40,unadjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.27 [0.22, 0.32]",0.03,10.24,< 0.001,unadjusted
bmiz_w6.5,(Intercept),"-0.27 [-0.56, 0.03]",0.15,-1.74,0.082,adjusted
bmiz_w6.5,st_totalz_w3,"0.06 [0, 0.12]",0.03,1.9,0.057,adjusted
bmiz_w6.5,female,"-0.28 [-0.41, -0.14]",0.07,-4.04,< 0.001,adjusted
bmiz_w6.5,indig,"-0.02 [-0.52, 0.48]",0.25,-0.08,0.94,adjusted
bmiz_w6.5,ses_w6,"-0.07 [-0.13, -0.01]",0.03,-2.27,0.024,adjusted
bmiz_w6.5,bad_diet,"0.18 [-0.08, 0.44]",0.13,1.33,0.18,adjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.22 [0.16, 0.29]",0.03,6.81,< 0.001,adjusted
bmiz_w6.5,accmvpa_w6.5_scaled,"-0.16 [-0.24, -0.09]",0.04,-4.17,< 0.001,adjusted
bmiz_w6.5,accsed_w6.5_scaled,"-0.04 [-0.12, 0.03]",0.04,-1.18,0.24,adjusted
bodyfat_w6.5,(Intercept),"17.63 [15.46, 19.79]",1.11,15.94,< 0.001,unadjusted
bodyfat_w6.5,st_totalz_w3,"0.79 [0.34, 1.24]",0.23,3.43,< 0.001,unadjusted
bodyfat_w6.5,female,"2.71 [1.81, 3.61]",0.46,5.92,< 0.001,unadjusted
bodyfat_w6.5,indig,"0.05 [-2.99, 3.1]",1.55,0.04,0.97,unadjusted
bodyfat_w6.5,ses_w6,"-0.99 [-1.41, -0.57]",0.22,-4.59,< 0.001,unadjusted
bodyfat_w6.5,bad_diet,"1.4 [-0.55, 3.35]",0.99,1.41,0.16,unadjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"0.7 [0.25, 1.14]",0.23,3.08,0.002,unadjusted
bodyfat_w6.5,(Intercept),"19.31 [16.83, 21.79]",1.26,15.27,< 0.001,adjusted
bodyfat_w6.5,st_totalz_w3,"0.86 [0.33, 1.38]",0.27,3.21,0.001,adjusted
bodyfat_w6.5,female,"1.61 [0.5, 2.73]",0.57,2.84,0.005,adjusted
bodyfat_w6.5,indig,"0.16 [-3.98, 4.29]",2.11,0.07,0.94,adjusted
bodyfat_w6.5,ses_w6,"-0.88 [-1.38, -0.38]",0.25,-3.49,< 0.001,adjusted
bodyfat_w6.5,bad_diet,"1.98 [-0.19, 4.14]",1.1,1.79,0.074,adjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"-0.04 [-0.58, 0.5]",0.27,-0.16,0.88,adjusted
bodyfat_w6.5,accmvpa_w6.5_scaled,"-2.35 [-2.98, -1.71]",0.32,-7.23,< 0.001,adjusted
bodyfat_w6.5,accsed_w6.5_scaled,"-0.24 [-0.85, 0.36]",0.31,-0.78,0.43,adjusted
bpsysamp_w6.5,(Intercept),"15.18 [14.36, 16]",0.42,36.19,< 0.001,unadjusted
bpsysamp_w6.5,st_totalz_w3,"-0.05 [-0.22, 0.12]",0.08,-0.58,0.56,unadjusted
bpsysamp_w6.5,female,"-0.89 [-1.23, -0.56]",0.17,-5.28,< 0.001,unadjusted
bpsysamp_w6.5,indig,"-0.24 [-1.35, 0.87]",0.57,-0.43,0.67,unadjusted
bpsysamp_w6.5,ses_w6,"-0.06 [-0.21, 0.1]",0.08,-0.71,0.48,unadjusted
bpsysamp_w6.5,bad_diet,"-0.19 [-0.93, 0.55]",0.38,-0.49,0.62,unadjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.38 [0.21, 0.54]",0.08,4.52,< 0.001,unadjusted
bpsysamp_w6.5,(Intercept),"14.7 [13.74, 15.66]",0.49,30.15,< 0.001,adjusted
bpsysamp_w6.5,st_totalz_w3,"-0.03 [-0.23, 0.16]",0.1,-0.34,0.73,adjusted
bpsysamp_w6.5,female,"-0.66 [-1.09, -0.24]",0.22,-3.08,0.002,adjusted
bpsysamp_w6.5,indig,"-0.27 [-1.84, 1.31]",0.8,-0.33,0.74,adjusted
bpsysamp_w6.5,ses_w6,"-0.02 [-0.21, 0.17]",0.1,-0.21,0.84,adjusted
bpsysamp_w6.5,bad_diet,"0.29 [-0.55, 1.12]",0.43,0.67,0.50,adjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.37 [0.17, 0.58]",0.1,3.56,< 0.001,adjusted
bpsysamp_w6.5,accmvpa_w6.5_scaled,"0.26 [0.01, 0.5]",0.13,2.06,0.040,adjusted
bpsysamp_w6.5,accsed_w6.5_scaled,"-0.02 [-0.26, 0.21]",0.12,-0.21,0.83,adjusted
pulsepressamp_w6.5,(Intercept),"1.35 [1.27, 1.43]",0.04,32.64,< 0.001,unadjusted
pulsepressamp_w6.5,st_totalz_w3,"0 [-0.02, 0.01]",0.01,-0.29,0.77,unadjusted
pulsepressamp_w6.5,female,"-0.01 [-0.04, 0.03]",0.02,-0.38,0.71,unadjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.15, 0.07]",0.06,-0.72,0.47,unadjusted
pulsepressamp_w6.5,ses_w6,"0.02 [0, 0.03]",0.01,2.27,0.023,unadjusted
pulsepressamp_w6.5,bad_diet,"0 [-0.07, 0.07]",0.04,-0.03,0.98,unadjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.02 [0.01, 0.04]",0.01,2.69,0.007,unadjusted
pulsepressamp_w6.5,(Intercept),"1.25 [1.15, 1.34]",0.05,25.58,< 0.001,adjusted
pulsepressamp_w6.5,st_totalz_w3,"0 [-0.02, 0.02]",0.01,0.17,0.86,adjusted
pulsepressamp_w6.5,female,"0.02 [-0.03, 0.06]",0.02,0.77,0.44,adjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.2, 0.12]",0.08,-0.51,0.61,adjusted
pulsepressamp_w6.5,ses_w6,"0.02 [0, 0.04]",0.01,1.79,0.074,adjusted
pulsepressamp_w6.5,bad_diet,"0.07 [-0.01, 0.15]",0.04,1.67,0.095,adjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.03 [0.01, 0.05]",0.01,2.95,0.003,adjusted
pulsepressamp_w6.5,accmvpa_w6.5_scaled,"0.02 [0, 0.05]",0.01,1.86,0.063,adjusted
pulsepressamp_w6.5,accsed_w6.5_scaled,"0 [-0.02, 0.03]",0.01,0.35,0.73,adjusted
bpsysz_w6.5,(Intercept),"-0.04 [-0.25, 0.16]",0.1,-0.43,0.67,unadjusted
bpsysz_w6.5,st_totalz_w3,"0.02 [-0.02, 0.06]",0.02,0.89,0.37,unadjusted
bpsysz_w6.5,female,"0.15 [0.07, 0.24]",0.04,3.66,< 0.001,unadjusted
bpsysz_w6.5,indig,"0 [-0.28, 0.28]",0.14,0,1.00,unadjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-3.15,0.002,unadjusted
bpsysz_w6.5,bad_diet,"0.07 [-0.11, 0.25]",0.09,0.73,0.47,unadjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"0.01 [-0.03, 0.05]",0.02,0.31,0.76,unadjusted
bpsysz_w6.5,(Intercept),"-0.13 [-0.37, 0.11]",0.12,-1.06,0.29,adjusted
bpsysz_w6.5,st_totalz_w3,"0.01 [-0.04, 0.06]",0.03,0.5,0.62,adjusted
bpsysz_w6.5,female,"0.19 [0.08, 0.3]",0.05,3.53,< 0.001,adjusted
bpsysz_w6.5,indig,"-0.15 [-0.55, 0.24]",0.2,-0.76,0.45,adjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.11, -0.01]",0.02,-2.38,0.017,adjusted
bpsysz_w6.5,bad_diet,"0.19 [-0.02, 0.4]",0.11,1.81,0.070,adjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.07, 0.04]",0.03,-0.57,0.57,adjusted
bpsysz_w6.5,accmvpa_w6.5_scaled,"0 [-0.06, 0.06]",0.03,-0.01,0.99,adjusted
